Port:              P038
Site:              Aberdeen
Latitude:          57.14325
Longitude:         -2.07451
Start Date:        01JAN1947-00.00.00
End Date:          31DEC1947-23.00.00
Contributor:       National Oceanography Centre, Liverpool
Datum information: The data refer to Admiralty Chart Datum (ACD)
Parameter code:    ASLVZZ01 = Surface elevation (unspecified datum) of the water body                      
  Cycle    Date      Time      ASLVZZ01     Residual  
 Number yyyy mm dd hh mi ssf           f            f 
   140) 1947/01/06 19:00:00    -99.0000N    -99.0000N 
   141) 1947/01/06 20:00:00    -99.0000N    -99.0000N 
   142) 1947/01/06 21:00:00    -99.0000N    -99.0000N 
   143) 1947/01/06 22:00:00    -99.0000N    -99.0000N 
   144) 1947/01/06 23:00:00    -99.0000N    -99.0000N 
   145) 1947/01/07 00:00:00    -99.0000N    -99.0000N 
   146) 1947/01/07 01:00:00    -99.0000N    -99.0000N 
   147) 1947/01/07 02:00:00    -99.0000N    -99.0000N 
   148) 1947/01/07 03:00:00    -99.0000N    -99.0000N 
   149) 1947/01/07 04:00:00    -99.0000N    -99.0000N 
   150) 1947/01/07 05:00:00    -99.0000N    -99.0000N 
   151) 1947/01/07 06:00:00    -99.0000N    -99.0000N 
   152) 1947/01/07 07:00:00    -99.0000N    -99.0000N 
   153) 1947/01/07 08:00:00    -99.0000N    -99.0000N 
   154) 1947/01/07 09:00:00    -99.0000N    -99.0000N 
   155) 1947/01/07 10:00:00    -99.0000N    -99.0000N 
   156) 1947/01/07 11:00:00    -99.0000N    -99.0000N 
   157) 1947/01/07 12:00:00    -99.0000N    -99.0000N 
   158) 1947/01/07 13:00:00    -99.0000N    -99.0000N 
   159) 1947/01/07 14:00:00    -99.0000N    -99.0000N 
   160) 1947/01/07 15:00:00      3.3280M     -0.4072M 
   161) 1947/01/07 16:00:00      2.4136M     -0.4899M 
   162) 1947/01/07 17:00:00      1.4383M     -0.4906M 
   163) 1947/01/07 18:00:00      0.7372M     -0.3746M 
   164) 1947/01/07 19:00:00      0.3105M     -0.3557M 
   165) 1947/01/07 20:00:00      0.4629M     -0.2419M 
   166) 1947/01/07 21:00:00      0.9811M     -0.2472M 
   167) 1947/01/07 22:00:00      1.9564M     -0.1318M 
   168) 1947/01/07 23:00:00      2.8099M     -0.1923M 
   169) 1947/01/08 00:00:00      3.6329M     -0.1417M 
   170) 1947/01/08 01:00:00      4.1815M     -0.1602M 
   171) 1947/01/08 02:00:00      4.1205M     -0.3336M 
   172) 1947/01/08 03:00:00      3.6633M     -0.4443M 
   173) 1947/01/08 04:00:00      2.9013M     -0.5077M 
   174) 1947/01/08 05:00:00      1.9869M     -0.5010M 
   175) 1947/01/08 06:00:00      1.2249M     -0.3807M 
   176) 1947/01/08 07:00:00      0.7372M     -0.2985M 
   177) 1947/01/08 08:00:00      0.7372M     -0.1643M 
   178) 1947/01/08 09:00:00      1.1335M     -0.1197M 
   179) 1947/01/08 10:00:00      1.8040M     -0.1910M 
   180) 1947/01/08 11:00:00      2.6575M     -0.2406M 
   181) 1947/01/08 12:00:00      3.4195M     -0.2431M 
   182) 1947/01/08 13:00:00      3.9377M     -0.3206M 
   183) 1947/01/08 14:00:00      4.0901M     -0.4007M 
   184) 1947/01/08 15:00:00      3.6633M     -0.5921M 
   185) 1947/01/08 16:00:00      3.0232M     -0.6144M 
   186) 1947/01/08 17:00:00      2.2612M     -0.4607M 
   187) 1947/01/08 18:00:00      1.2859M     -0.4134M 
   188) 1947/01/08 19:00:00      0.5239M     -0.3672M 
   189) 1947/01/08 20:00:00      0.2190M     -0.2814M 
   190) 1947/01/08 21:00:00      0.3715M     -0.2528M 
   191) 1947/01/08 22:00:00      0.9201M     -0.3019M 
   192) 1947/01/08 23:00:00      1.8955M     -0.2501M 
   193) 1947/01/09 00:00:00      2.8099M     -0.2475M 
   194) 1947/01/09 01:00:00      3.5719M     -0.2709M 
   195) 1947/01/09 02:00:00      4.0291M     -0.3427M 
   196) 1947/01/09 03:00:00      3.9377M     -0.4796M 
   197) 1947/01/09 04:00:00      3.5719M     -0.4494M 
   198) 1947/01/09 05:00:00    -99.0000N    -99.0000N 
   199) 1947/01/09 06:00:00    -99.0000N    -99.0000N 
   200) 1947/01/09 07:00:00    -99.0000N    -99.0000N 
   201) 1947/01/09 08:00:00    -99.0000N    -99.0000N 
   202) 1947/01/09 09:00:00    -99.0000N    -99.0000N 
   203) 1947/01/09 10:00:00    -99.0000N    -99.0000N 
   204) 1947/01/09 11:00:00    -99.0000N    -99.0000N 
   205) 1947/01/09 12:00:00      2.4136M     -0.7128M 
   206) 1947/01/09 13:00:00      3.3280M     -0.5128M 
   207) 1947/01/09 14:00:00      3.8767M     -0.4926M 
   208) 1947/01/09 15:00:00    -99.0000N    -99.0000N 
   209) 1947/01/09 16:00:00    -99.0000N    -99.0000N 
   210) 1947/01/09 17:00:00    -99.0000N    -99.0000N 
   211) 1947/01/09 18:00:00    -99.0000N    -99.0000N 
   212) 1947/01/09 19:00:00    -99.0000N    -99.0000N 
   213) 1947/01/09 20:00:00    -99.0000N    -99.0000N 
   214) 1947/01/09 21:00:00    -99.0000N    -99.0000N 
   215) 1947/01/09 22:00:00    -99.0000N    -99.0000N 
   216) 1947/01/09 23:00:00    -99.0000N    -99.0000N 
   217) 1947/01/10 00:00:00    -99.0000N    -99.0000N 
   218) 1947/01/10 01:00:00    -99.0000N    -99.0000N 
   219) 1947/01/10 02:00:00    -99.0000N    -99.0000N 
   220) 1947/01/10 03:00:00    -99.0000N    -99.0000N 
   221) 1947/01/10 04:00:00    -99.0000N    -99.0000N 
   222) 1947/01/10 05:00:00    -99.0000N    -99.0000N 
   223) 1947/01/10 06:00:00    -99.0000N    -99.0000N 
   224) 1947/01/10 07:00:00    -99.0000N    -99.0000N 
   225) 1947/01/10 08:00:00    -99.0000N    -99.0000N 
   226) 1947/01/10 09:00:00    -99.0000N    -99.0000N 
